Transkription,MISC,9
Nadja Rothenburger,PER,1
Liebe Ursula,PER,1
Oral History Gespräch,LOC,1
Anfängen des Bühnentanzes,MISC,1
der Schweiz,LOC,12
Schweizerischen Tanzarchiv,LOC,1
Jean-Pierre Pastori,PER,1
Jean-Pierre,LOC,1
Stadt Lausanne,LOC,1
Anm,LOC,4
Lausanner,LOC,1
Alain Bernard,PER,2
Museum für Gestaltung,LOC,1
Toni Areal,PER,1
Sigurd Leeder,PER,7
Grete Müller,PER,8
Stücks,LOC,1
Leeder,PER,23
Du,PER,12
Kurt Jooss,PER,8
Marianne Forster,PER,2
Leeder]-Stunde,MISC,1
Köln,LOC,2
Schweizer,MISC,16
Jooss,PER,5
Essen,LOC,2
Dartington Hall,LOC,1
Peter Wright,PER,3
Jooss,ORG,7
Angollo,PER,1
Schweiz,LOC,29
Ballet Jooss,ORG,1
England,LOC,4
Amerika,LOC,2
Deutschland,LOC,15
Folkwang Hochschule,ORG,2
englische,MISC,1
englischen,MISC,2
deutschen,MISC,1
Krieg,MISC,1
Chile,LOC,2
London,LOC,2
Herisau,LOC,6
Sigurd Leeder School of Dance,ORG,3
Zeit,MISC,24
Choreo,MISC,2
Kurt Fröhlich,PER,1
Unterrichtsmaterial,MISC,1
Etüden,LOC,8
Dartington Hall,PER,1
Jean Cébron,PER,1
Kannst Du,PER,1
P,PER,2
Lass,LOC,1
Laban,PER,26
Suzanne Perrottet,LOC,1
Zeit des Dadaismus,ORG,1
Monte Verità,LOC,7
Hässler,ORG,1
Monte Verità,PER,2
Dada,LOC,2
Kunsthaus,LOC,2
französische,MISC,4
französischen,MISC,2
Mary Wigman,PER,13
Zürich,LOC,40
Meine Kinder,MISC,1
Schauspielhaus,LOC,1
Opernhaus,LOC,6
Hedwig Müller,PER,1
Dresden,LOC,2
Suzanne Perrottet,ORG,3
Zürcher Zeit,LOC,1
Laban,LOC,7
deutscher,MISC,1
Uetliberg,LOC,1
Züriberg,LOC,1
Vierwaldstättersee,LOC,1
Reformkolonie,LOC,1
Jacques Dalcroze,PER,1
Dalcroze...,MISC,1
Musikschule,LOC,1
Genf,LOC,3
Genfer,MISC,1
Dalcroze,PER,7
Russland,LOC,1
Hellerau,LOC,2
Dalcroze-Institut,LOC,1
Irene Steiner,PER,1
Winterthur,LOC,3
Schwester Wiesenthal,ORG,1
Suzanne Perrottet,PER,3
Marie Rambert,PER,1
Knuscht,MISC,1
Lisa Ullmann,PER,1
Meister,ORG,1
Anstoss,LOC,1
Kurt Jooss,LOC,1
Dich,PER,1
Fünfeck,LOC,1
Hagia Sofia,LOC,1
Raumtheater,LOC,1
Quadrat,MISC,1
Musiknotationen,LOC,1
Raumharmonie Bindestrich,PER,1
Dur,PER,1
Moll,LOC,1
Skala,PER,1
BEWEGUNGSleiter,MISC,1
C-Dur,PER,1
Brustbein,LOC,1
Bewegungsskala,MISC,1
Laban-Schule,LOC,1
Kriegsausbruch,MISC,1
Katja Wulff,PER,3
Basel,LOC,3
Glaanerland,LOC,1
Berte Trümpi,MISC,1
reichem,MISC,1
Berte Trümpi,PER,2
Kinderauftritt,PER,1
Ausdruckstanzschulen,LOC,1
Schweizerin,MISC,1
Bad Ragatz,LOC,1
Person,PER,1
Feine,LOC,1
Trudi Schoop,MISC,1
Fridolin,PER,1
Edith Carola,PER,1
Züricher,LOC,1
Trudi Schoop,PER,2
Choreografie-Wettbewerb,MISC,1
Chaplin,PER,1
Goslar,LOC,1
Terpis,LOC,8
Max Pfister-Terpis,MISC,1
Russes,LOC,3
Remisstrasse,MISC,1
Wettbewerben,LOC,1
Sohn,PER,1
Kunsthaus Stunden,LOC,1
Wigman,PER,4
Kreutzberg,LOC,3
Haus in der,LOC,1
Hannover,LOC,3
Laban-Schüler,MISC,1
Paris,LOC,8
Amerikanisches,LOC,1
Aussen,LOC,1
deutschsprachigen,MISC,6
Grosse Oper,LOC,1
Berlin,LOC,2
Hans Wacker,PER,1
Zweiten Weltkriegs,MISC,1
Coppelia,ORG,1
Theatern,LOC,2
Niddy Impekoven,ORG,1
Grünen Tisch,MISC,1
Grüne Tisch,ORG,1
Ersten Weltkrieg,MISC,1
Bühnenbilder,PER,1
Psychologietests,PER,1
Sophie Taeuber,PER,4
Nonplusultra,LOC,1
Finger,PER,1
Laban-Tänzerinnen,LOC,1
BESTE,ORG,1
Eben der Tanz,PER,1
Sacre du Printemps,LOC,1
Nijinsky,PER,2
Sacre,LOC,1
Laban-Frauen,MISC,1
Ganzem,PER,1
Brandenburg,LOC,1
München,LOC,4
afrikanische,MISC,1
Nijinsky,LOC,3
Sondern,LOC,2
LAUT,ORG,1
Monte Dada,PER,1
Cabaret Voltaire,PER,2
Laban-Leute,ORG,2
Zürcher,MISC,5
Suzanne,LOC,1
Mori,PER,1
Geblieben,LOC,1
01:07:50,LOC,1
Clotilde von Derp,PER,1
Sacharoff,PER,2
La Primont,LOC,1
Szigeti,LOC,2
Laban-Leuten,MISC,1
SIE,ORG,1
Isadora Duncan,PER,1
Charaktertänze,LOC,1
Corps de Ballet,ORG,1
mitmachen,MISC,5
Così fan tutte,MISC,2
Die Kamera,MISC,1
Vorstellungen im Jahr,MISC,1
Theatertanz,MISC,2
EXTREM,ORG,1
Dada-Kreisen,MISC,1
Sophie Taeuber-Arp...,MISC,1
Brokat,LOC,1
Dada-Soirée,MISC,1
Wollen,MISC,1
Du da Bezüge,PER,1
DADA,PER,1
VERÖFFENTLICHTE,ORG,1
Sodass,PER,2
NZZ-Archiv,ORG,1
Eben,LOC,1
Tessin,LOC,2
Trix,MISC,1
Beatrix Gutekunst,PER,1
Beatrix Tschumi,PER,2
ZHDK,ORG,2
Julia Markus,MISC,1
Julia Markus,PER,1
St. Gallen,LOC,3
Puzzlesteine,LOC,1
Wandervogel,LOC,1
Tanzbeschreibungen,LOC,1
Reigen,MISC,1
Duncan,PER,5
Griechen,MISC,1
Triton,PER,1
Röcke,LOC,1
EINFACH,ORG,1
Isadora Duncan,ORG,3
Dalcroze ja doppelt auf die Musik,MISC,1
Parenthese,LOC,1
Dein Körper,PER,1
Verschiedenes,PER,1
Strawinsky,PER,1
Periode,MISC,1
Acht,LOC,1
Isadora,LOC,2
Loïe Fuller,PER,1
Loïe Fuller,ORG,1
Jahrbücher,ORG,2
Tanz,PER,4
Sutter,PER,1
Annemarie Sutter,PER,1
Maya Kübler,PER,3
Rowida,LOC,1
Ballet Jooss,MISC,2
Maya,MISC,1
Der Verlorene Sohn,MISC,1
Mein Grossvater,PER,2
SAPA,ORG,1
Landi...,MISC,1
Dich,LOC,1
Danke,PER,1
Landi,LOC,3
Schweizerischen Bund,ORG,1
Bund für Tanz und Gymnastik...,ORG,1
SBTG,ORG,2
Schweizerische Bund für Tanz,ORG,1
Safa,MISC,1
Schweizerische Frauenausstellung,ORG,1
Landi,MISC,2
Schweizerische Berufsverband für Tanz und Gymnastik,ORG,1
Beatrix Tschumi,LOC,1
Katja Wulff,ORG,1
Ausdruckstänzer,MISC,6
Rosalia Chladek,LOC,1
Person,MISC,1
Grünen Tisch,ORG,1
Grüne,ORG,1
Bern,LOC,3
Schweizerische Verband für Tanz und Gymnastik,ORG,1
Bund,LOC,2
spanische,MISC,1
Berufstänzer,PER,1
American Modern Dance,ORG,1
Österreich,LOC,4
Daheim,LOC,1
Napoleon Zürich,MISC,1
Wilhelm Tell,PER,3
Natürlichkeit,MISC,1
Eigenständiges,PER,1
Fumi Matsuda,MISC,1
Wigman-Schülerin,MISC,1
Tanz-November,MISC,1
Hilde Baumann,PER,1
dem Krieg,MISC,3
Schweizern,MISC,2
(2:00:33),LOC,1
TAZ,ORG,1
Grüne Tisch,MISC,1
jüdische,MISC,1
Juden,MISC,1
Jobs,PER,1
Frieden,MISC,1
Joseph Brodsky,PER,1
Nachhinein,LOC,1
Tatjana Gsovsky,PER,1
WOLLTEN,ORG,1
nicht-akademische,MISC,1
Graham-Technik,LOC,2
WIEDER,ORG,1
Schwanensee,MISC,6
ALLERERSTEN Mal,MISC,1
Nurejew,PER,2
Papaberiosow,LOC,1
Olegkowski,PER,1
Sacharoff-Stücke,LOC,1
Frankreich,LOC,2
Pariser Oper,ORG,2
Les Sylphides,LOC,1
Grand Ballet,MISC,1
Dornröschen,MISC,2
Engländer,LOC,1
Prag,LOC,1
Deutsches,MISC,1
Pina Bausch,PER,1
Zentrum,ORG,2
Zeit der Sommerkurse,ORG,1
Richtig,PER,1
Leeder-Schüler,LOC,1
Juri Ackermann,PER,3
Margit Huber,PER,2
Fumi,PER,2
Waganowa,LOC,1
Deine Stärke,MISC,1
GENIAL,ORG,1
Klassiker-Lehrer,LOC,1
Tendu,MISC,1
Tendu,LOC,1
Tendu,PER,1
Graham,LOC,3
Freien Tanz da,LOC,1
Gruppengeschehen,LOC,1
Laban,ORG,2
Ikarus,ORG,2
Flamencos,LOC,1
Street-Tänzer,MISC,1
Streetdance,ORG,1
Finger,LOC,1
Contemporary,MISC,1
Street,MISC,1
Ikarus.,MISC,1
Ausdruckstänzerinnen,ORG,3
Chur,LOC,1
Katja Wulff,LOC,1
Meyenburg,LOC,1
Oppenheim,LOC,1
Pagacini,PER,1
Jooss-Tänzer,MISC,1
dänische,MISC,1
Amerika-Tournee,LOC,1
Looser,LOC,1
Barbara,PER,1
Nachwuchschoreografen,LOC,1
NIE,MISC,2
Kulturmanager,LOC,1
Claude Perrottet,PER,1
Erwin Schumann,PER,4
Choreo 77,MISC,1
Gessnerallee,MISC,1
Tag,MISC,1
CH-Tanztheater,ORG,1
Westend,LOC,1
Erika Ackermann,PER,1
Leeder-Schülern,MISC,1
Mann,PER,1
Nyon,PER,1
Nyon,LOC,1
Maguy Marin,MISC,1
Berufen,LOC,1
Franken,LOC,1
Schultern),MISC,1
Zentrum,LOC,1
New German Dance,MISC,1
Zentraleuropäischer Tanz,MISC,1
Blödes,LOC,1
Warum,PER,1
Dore Hoyer,PER,1
Produktionsbedingungen,MISC,1
Deiner,LOC,1
Flamenco-Tänzerinnen,ORG,1
Susanna,MISC,2
Nina Curti,PER,1
Biel,LOC,1
Düsseldorf,LOC,3
Appenzeller-Kind,MISC,1
Ernst,PER,1
Mariinski-Ballett,MISC,1
Franzosen,LOC,1
Pariser,LOC,1
Patrice Bart,LOC,1
Mariinski,MISC,2
Haus vom Petipa,LOC,1
Petipa,PER,2
Radwanski,PER,1
Petersburg,LOC,2
Klassiker-Inszenierungen,MISC,1
Schoch,LOC,1
Neumeier,LOC,1
Mainz,LOC,1
Kopenhagen,LOC,1
Humphrey,ORG,1
CH,MISC,1
Läuft,PER,1
Willst Du,PER,1
Maja,LOC,1
Johannes Schmid,PER,1
Explizit,PER,1
Margot Fonteyn,PER,1
Fonteyn,ORG,2
Oberkörper,PER,1
Leeder,LOC,1
Halbspitze,LOC,1
Problem,LOC,1
Meine Schülerinnen,PER,1
Der sterbende Schwan,MISC,1
Pawlowa,PER,1
PERFEKT!,ORG,1
JEDER,MISC,2
Nurejew,LOC,1
GANZ,ORG,1
DIE,MISC,1
Carnegie Hall,LOC,1
ETWAS,ORG,1
Russen,MISC,1
russische,MISC,1
Radmanski,PER,2
I.,PER,1
Aktion,MISC,1
Könnt,PER,1
YouTube,MISC,1
Luzern,LOC,1
Tina,PER,1
Berner,LOC,1
Einfach,PER,1
Jahrbüchern,LOC,1
Einfach bei Brauchtumstänzen,LOC,1
Ehrenzeichen von Basel,MISC,1
Gemeinte,MISC,1
Schiller,PER,1
Heidi Greco,PER,1
Nationalfonds,LOC,1
Heinrich,PER,1
Gottfried Keller,PER,1
Obergericht,LOC,1
IMMER,ORG,1
Tanz,MISC,1
Mailand,LOC,1
Excelsior,PER,1
I,MISC,1
Poltern,LOC,1
Füssen,LOC,1
Irland,LOC,2
Amerikaner,LOC,1
Südafrikaner,LOC,1
Südafrika,LOC,1
